old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
APP-STORE-ITUNES-GIFT-CARD-KZ-10000;APPL-GFT-APPSTORE-UNI-BAL-NOM-KZ10000;Apple;Apple Gift Card 10000 KZT, Казахстан;GFT;APPSTORE;UNI;BAL;NOM;KZ10000
APP-STORE-ITUNES-GIFT-CARD-TR-1250;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR1250;Apple;Apple Gift Card 1250 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR1250
APP-STORE-ITUNES-GIFT-CARD-RU-1500;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU1500;Apple;Apple Gift Card 1500 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU1500
APP-STORE-ITUNES-GIFT-CARD-TR-1500;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR1500;Apple;Apple Gift Card 1500 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR1500
APP-STORE-ITUNES-GIFT-CARD-TR-1750;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR1750;Apple;Apple Gift Card 1750 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR1750
APP-STORE-ITUNES-GIFT-CARD-KZ-2000;APPL-GFT-APPSTORE-UNI-BAL-NOM-KZ2000;Apple;Apple Gift Card 2000 KZT, Казахстан;GFT;APPSTORE;UNI;BAL;NOM;KZ2000
APP-STORE-ITUNES-GIFT-CARD-RU-2000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU2000;Apple;Apple Gift Card 2000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU2000
APP-STORE-ITUNES-GIFT-CARD-TR-2000;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR2000;Apple;Apple Gift Card 2000 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR2000
APP-STORE-ITUNES-GIFT-CARD-KZ-3000;APPL-GFT-APPSTORE-UNI-BAL-NOM-KZ3000;Apple;Apple Gift Card 3000 KZT, Казахстан;GFT;APPSTORE;UNI;BAL;NOM;KZ3000
APP-STORE-ITUNES-GIFT-CARD-RU-3000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU3000;Apple;Apple Gift Card 3000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU3000
APP-STORE-ITUNES-GIFT-CARD-TR-400;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR400;Apple;Apple Gift Card 400 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR400
APP-STORE-ITUNES-GIFT-CARD-RU-4000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU4000;Apple;Apple Gift Card 4000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU4000
APP-STORE-ITUNES-GIFT-CARD-RU-500;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU500;Apple;Apple Gift Card 500 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU500
APP-STORE-ITUNES-GIFT-CARD-TR-500;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR500;Apple;Apple Gift Card 500 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR500
APP-STORE-ITUNES-GIFT-CARD-KZ-5000;APPL-GFT-APPSTORE-UNI-BAL-NOM-KZ5000;Apple;Apple Gift Card 5000 KZT, Казахстан;GFT;APPSTORE;UNI;BAL;NOM;KZ5000
APP-STORE-ITUNES-GIFT-CARD-RU-5000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU5000;Apple;Apple Gift Card 5000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU5000
APP-STORE-ITUNES-GIFT-CARD-TR-600;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR600;Apple;Apple Gift Card 600 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR600
APP-STORE-ITUNES-GIFT-CARD-RU-6000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU6000;Apple;Apple Gift Card 6000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU6000
APP-STORE-ITUNES-GIFT-CARD-RU-700;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU700;Apple;Apple Gift Card 700 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU700
APP-STORE-ITUNES-GIFT-CARD-RU-7000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU7000;Apple;Apple Gift Card 7000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU7000
APP-STORE-ITUNES-GIFT-CARD-TR-750;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR750;Apple;Apple Gift Card 750 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR750
APP-STORE-ITUNES-GIFT-CARD-TR-799;APPL-GFT-APPSTORE-UNI-BAL-NOM-TR799;Apple;Apple Gift Card 799 TRY, Турция;GFT;APPSTORE;UNI;BAL;NOM;TR799
APP-STORE-ITUNES-GIFT-CARD-RU-800;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU800;Apple;Apple Gift Card 800 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU800
APP-STORE-ITUNES-GIFT-CARD-RU-8000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU8000;Apple;Apple Gift Card 8000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU8000
APP-STORE-ITUNES-GIFT-CARD-RU-900;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU900;Apple;Apple Gift Card 900 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU900
APP-STORE-ITUNES-GIFT-CARD-RU-9000;APPL-GFT-APPSTORE-UNI-BAL-NOM-RU9000;Apple;Apple Gift Card 9000 RUB, Россия;GFT;APPSTORE;UNI;BAL;NOM;RU9000
ARTLST-SOCIAL;ARTL-LIC-SOCIAL-IND-1Y-USER;Artlist;Artlist Music & SFX (Social);LIC;SOCIAL;IND;1Y;USER;
ARTLST-PRO;ARTL-LIC-PRO-IND-1Y-USER;Artlist;Artlist Music & SFX Pro;LIC;PRO;IND;1Y;USER;
ARTLST-TEAMS;ARTL-LIC-TEAMS-TEAM-1Y-USER;Artlist;Artlist Music & SFX Teams;LIC;TEAMS;TEAM;1Y;USER;
ASTUTE-BUNDLE;ASTU-LIC-BUNDLE-UNI-1Y-USER;Astute Graphics;Astute Graphics — полный набор плагинов;LIC;BUNDLE;UNI;1Y;USER;
CONFLUENCE-PREMIUM;ATLS-LIC-CONFLPREMIUM-TEAM-1Y-USER;Atlassian;Confluence Premium;LIC;CONFLPREMIUM;TEAM;1Y;USER;
CONFLUENCE-STANDARD;ATLS-LIC-CONFLSTD-TEAM-1Y-USER;Atlassian;Confluence Standard;LIC;CONFLSTD;TEAM;1Y;USER;
JIRA-PREMIUM;ATLS-LIC-JIRAPREMIUM-TEAM-1Y-USER;Atlassian;Jira Premium;LIC;JIRAPREMIUM;TEAM;1Y;USER;
JIRA-STANDARD;ATLS-LIC-JIRASTD-TEAM-1Y-USER;Atlassian;Jira Standard;LIC;JIRASTD;TEAM;1Y;USER;
WWISE-PLATINUM;AUDK-LIC-WWISEPLATIN-UNI-1Y-PROJ;Audiokinetic;Wwise Platinum (за проект);LIC;WWISEPLATIN;UNI;1Y;PROJ;
WWISE-PREMIUM;AUDK-LIC-WWISEPREMIUM-UNI-1Y-PROJ;Audiokinetic;Wwise Premium (за проект);LIC;WWISEPREMIUM;UNI;1Y;PROJ;
WWISE-PRO;AUDK-LIC-WWISEPRO-UNI-1Y-PROJ;Audiokinetic;Wwise Pro (за проект);LIC;WWISEPRO;UNI;1Y;PROJ;
ADSK-3DSMAX;ADSK-LIC-3DSMAX-UNI-1Y-USER;Autodesk;Autodesk 3ds Max;LIC;3DSMAX;UNI;1Y;USER;
INT-ENG-AUTOCAD;ADSK-LIC-AUTOCAD-UNI-1Y-USER;Autodesk;Autodesk AutoCAD;LIC;AUTOCAD;UNI;1Y;USER;
ADSK-MAYA;ADSK-LIC-MAYA-UNI-1Y-USER;Autodesk;Autodesk Maya;LIC;MAYA;UNI;1Y;USER;
ADSK-MECOLL;ADSK-LIC-MECOLLECTION-UNI-1Y-USER;Autodesk;Autodesk Media & Entertainment Collection;LIC;MECOLLECTION;UNI;1Y;USER;
ADSK-MOTIONBUILDER;ADSK-LIC-MOTIONBLDR-UNI-1Y-USER;Autodesk;Autodesk MotionBuilder;LIC;MOTIONBLDR;UNI;1Y;USER;
ADSK-MUDBOX;ADSK-LIC-MUDBOX-UNI-1Y-USER;Autodesk;Autodesk Mudbox;LIC;MUDBOX;UNI;1Y;USER;
AVID-MC-PERP;AVID-LIC-MEDIACOMP-UNI-PERP-USER;Avid;Avid Media Composer (бессрочная);LIC;MEDIACOMP;UNI;PERP;USER;
AVID-MC-SUB;AVID-LIC-MEDIACOMP-UNI-1Y-USER;Avid;Avid Media Composer (подписка);LIC;MEDIACOMP;UNI;1Y;USER;
AVID-MC-ULT;AVID-LIC-MEDIACOMPULT-UNI-1Y-USER;Avid;Avid Media Composer | Ultimate (подписка);LIC;MEDIACOMPULT;UNI;1Y;USER;
AVID-PT-ARTIST;AVID-LIC-PTARTIST-UNI-1Y-USER;Avid;Avid Pro Tools Artist (подписка);LIC;PTARTIST;UNI;1Y;USER;
AVID-PT-STUDIO;AVID-LIC-PTSTUDIO-UNI-1Y-USER;Avid;Avid Pro Tools Studio (подписка);LIC;PTSTUDIO;UNI;1Y;USER;
AVID-PT-ULT-PERP;AVID-LIC-PTULTIMATE-UNI-PERP-USER;Avid;Avid Pro Tools Ultimate (бессрочная);LIC;PTULTIMATE;UNI;PERP;USER;
BINANCE-BTC-GIFT-CARD;BNCE-GFT-BTC-UNI-BAL-NOM;Binance;Binance Gift Card (BTC);GFT;BTC;UNI;BAL;NOM;
BINANCE-BTC-GIFT-CARD-GLOBAL-100;BNCE-GFT-BTC-UNI-BAL-NOM-GL100;Binance;Binance Gift Card (BTC) 100 USD, Все страны (Global);GFT;BTC;UNI;BAL;NOM;GL100
BINANCE-BTC-GIFT-CARD-GLOBAL-15;BNCE-GFT-BTC-UNI-BAL-NOM-GL15;Binance;Binance Gift Card (BTC) 15 USD, Все страны (Global);GFT;BTC;UNI;BAL;NOM;GL15
BINANCE-BTC-GIFT-CARD-GLOBAL-40;BNCE-GFT-BTC-UNI-BAL-NOM-GL40;Binance;Binance Gift Card (BTC) 40 USD, Все страны (Global);GFT;BTC;UNI;BAL;NOM;GL40
BINANCE-BTC-GIFT-CARD-GLOBAL-50;BNCE-GFT-BTC-UNI-BAL-NOM-GL50;Binance;Binance Gift Card (BTC) 50 USD, Все страны (Global);GFT;BTC;UNI;BAL;NOM;GL50
BINANCE-USDC-GIFT-CARD;BNCE-GFT-USDC-UNI-BAL-NOM;Binance;Binance Gift Card (USDC);GFT;USDC;UNI;BAL;NOM;
BINANCE-USDC-GIFT-CARD-GLOBAL-20;BNCE-GFT-USDC-UNI-BAL-NOM-GL20;Binance;Binance Gift Card (USDC) 20 USD, Все страны (Global);GFT;USDC;UNI;BAL;NOM;GL20
BINANCE-USDC-GIFT-CARD-GLOBAL-25;BNCE-GFT-USDC-UNI-BAL-NOM-GL25;Binance;Binance Gift Card (USDC) 25 USD, Все страны (Global);GFT;USDC;UNI;BAL;NOM;GL25
BINANCE-USDC-GIFT-CARD-GLOBAL-50;BNCE-GFT-USDC-UNI-BAL-NOM-GL50;Binance;Binance Gift Card (USDC) 50 USD, Все страны (Global);GFT;USDC;UNI;BAL;NOM;GL50
BINANCE-USDC-GIFT-CARD-GLOBAL-60;BNCE-GFT-USDC-UNI-BAL-NOM-GL60;Binance;Binance Gift Card (USDC) 60 USD, Все страны (Global);GFT;USDC;UNI;BAL;NOM;GL60
BINANCE-USDT-GIFT-CARD;BNCE-GFT-USDT-UNI-BAL-NOM;Binance;Binance Gift Card (USDT);GFT;USDT;UNI;BAL;NOM;
BINANCE-USDT-GIFT-CARD-GLOBAL-200;BNCE-GFT-USDT-UNI-BAL-NOM-GL200;Binance;Binance Gift Card (USDT) 200 USD, Все страны (Global);GFT;USDT;UNI;BAL;NOM;GL200
BINANCE-USDT-GIFT-CARD-GLOBAL-250;BNCE-GFT-USDT-UNI-BAL-NOM-GL250;Binance;Binance Gift Card (USDT) 250 USD, Все страны (Global);GFT;USDT;UNI;BAL;NOM;GL250
BINANCE-USDT-GIFT-CARD-GLOBAL-300;BNCE-GFT-USDT-UNI-BAL-NOM-GL300;Binance;Binance Gift Card (USDT) 300 USD, Все страны (Global);GFT;USDT;UNI;BAL;NOM;GL300
BINANCE-USDT-GIFT-CARD-GLOBAL-500;BNCE-GFT-USDT-UNI-BAL-NOM-GL500;Binance;Binance Gift Card (USDT) 500 USD, Все страны (Global);GFT;USDT;UNI;BAL;NOM;GL500
BITDEFENDER-GRAVITYZONE-PREMIUM;BITD-LIC-GZBSPREMIUM-TEAM-1Y-DEV;Bitdefender;Bitdefender GravityZone Business Security Premium;LIC;GZBSPREMIUM;TEAM;1Y;DEV;
BITDEFENDER-GRAVITYZONE-BUSINESS;BITD-LIC-GZSMALLBUS-TEAM-1Y-DEV;Bitdefender;Bitdefender GravityZone Small Business Security;LIC;GZSMALLBUS;TEAM;1Y;DEV;
BITDEFENDER-PREMIUM-SECURITY-FAMILY;BITD-LIC-PREMIUMSEC-IND-1Y-PACK-FAMILY;Bitdefender;Bitdefender Premium Security (Family);LIC;PREMIUMSEC;IND;1Y;PACK;FAMILY
BITDEFENDER-PREMIUM-SECURITY-IND;BITD-LIC-PREMIUMSEC-IND-1Y-PACK-SINGLE;Bitdefender;Bitdefender Premium Security (Individual);LIC;PREMIUMSEC;IND;1Y;PACK;SINGLE
BITDEFENDER-TOTAL-SECURITY-FAMILY;BITD-LIC-TOTALSEC-IND-1Y-PACK-FAMILY;Bitdefender;Bitdefender Total Security (Family);LIC;TOTALSEC;IND;1Y;PACK;FAMILY
BITDEFENDER-TOTAL-SECURITY-IND;BITD-LIC-TOTALSEC-IND-1Y-PACK-SINGLE;Bitdefender;Bitdefender Total Security (Individual);LIC;TOTALSEC;IND;1Y;PACK;SINGLE
BITDEFENDER-ULTIMATE-SECURITY-FAMILY;BITD-LIC-ULTIMATESEC-IND-1Y-PACK-FAMILY;Bitdefender;Bitdefender Ultimate Security (Family);LIC;ULTIMATESEC;IND;1Y;PACK;FAMILY
BITDEFENDER-ULTIMATE-SECURITY-IND;BITD-LIC-ULTIMATESEC-IND-1Y-PACK-SINGLE;Bitdefender;Bitdefender Ultimate Security (Individual);LIC;ULTIMATESEC;IND;1Y;PACK;SINGLE
BMD-RESOLVE-STUDIO;BMD-LIC-RESOLVESTUD-UNI-PERP-USER;Blackmagic Design;DaVinci Resolve Studio;LIC;RESOLVESTUD;UNI;PERP;USER;
BORIS-CONTINUUM-PERP;BFX-LIC-CONTINUUM-UNI-PERP-USER;Boris FX;Boris FX Continuum (бессрочная);LIC;CONTINUUM;UNI;PERP;USER;
BORIS-CONTINUUM-SUB;BFX-LIC-CONTINUUM-UNI-1Y-USER;Boris FX;Boris FX Continuum (подписка);LIC;CONTINUUM;UNI;1Y;USER;
BORIS-MOCHA-PERP;BFX-LIC-MOCHAPRO-UNI-PERP-USER;Boris FX;Boris FX Mocha Pro (бессрочная);LIC;MOCHAPRO;UNI;PERP;USER;
BORIS-MOCHA-SUB;BFX-LIC-MOCHAPRO-UNI-1Y-USER;Boris FX;Boris FX Mocha Pro (подписка);LIC;MOCHAPRO;UNI;1Y;USER;
BORIS-SAPPHIRE-PERP;BFX-LIC-SAPPHIRE-UNI-PERP-USER;Boris FX;Boris FX Sapphire (бессрочная);LIC;SAPPHIRE;UNI;PERP;USER;
BORIS-SAPPHIRE-SUB;BFX-LIC-SAPPHIRE-UNI-1Y-USER;Boris FX;Boris FX Sapphire (подписка);LIC;SAPPHIRE;UNI;1Y;USER;
